##################################################################################
# Grid of water world sub-Neptune atmospheric escape models 
#   wind-ae (Broome+2025)
#
# Atmosphere Composition
#  HI: 1.12e-01
#  OI: 8.88e-01
#
# Parameters:
#   Mp: planet mass (M_earth)
#   Rp: planet radius (R_earth)
#   grav: planet gravity (m/s^2)
#   Teq: equilibrium temperature (K)
#   a: semi-major axis (au)
#   Fxuv: total XUV flux at planet's orbit (Fuv_earth)
#   mstar: stellar mass (Msun)
#   lstar: stellar luminosity (Lsun)
#   Mdot: atmospheric mass-loss rate (kg/s)
#   Mdot_OW17: atmospheric mass-loss rate from Owen & Wu 2017 (kg/s) [IGNORE FOR NOW]
#   ramp_to: 0- ramp success, else- ramp failed
#   run_wind: sim.run_wind() output. 0- wind launched, else- wind failed
#   rochelim: 0- planet outside Roche limit, 1- planet within Roche limit
#
# Created: November 03, 2025
# Units: SI, astronomical
# Pure H2O atmosphere, no conductive or bolometric heat/cool, static bcs.
##################################################################################

Mp	Rp	grav	Teq	a	Fxuv	mstar	lstar	Mdot	MdotOW17	ramp_to	run_wind	rochelim
0.20000	0.52019	7.240000	400	0.04070	9.82388e-01	0.220	0.00707	3.23396e+04	2.16717e+07	0	0	0
0.20000	0.52019	7.240000	400	0.04070	1.31636e+01	0.220	0.00707	3.41619e+05	2.16717e+07	0	0	0
0.20000	0.52019	7.240000	400	0.04070	1.76388e+02	0.220	0.00707	1.94031e+06	2.16717e+07	0	0	0
0.20000	0.52019	7.240000	400	0.04070	2.36354e+03	0.220	0.00707	6.05781e+06	2.16717e+07	0	0	0
0.20000	0.52019	7.240000	400	0.05815	7.33145e-02	0.300	0.01442	2.46136e+03	1.13951e+07	0	0	0
0.20000	0.52019	7.240000	400	0.05815	9.82388e-01	0.300	0.01442	3.20094e+04	1.13951e+07	0	0	0
0.20000	0.52019	7.240000	400	0.05815	1.31636e+01	0.300	0.01442	3.39432e+05	1.13951e+07	0	0	0
0.20000	0.52019	7.240000	400	0.05815	1.76388e+02	0.300	0.01442	1.93278e+06	1.13951e+07	0	0	0
0.20000	0.52019	7.240000	400	0.05815	2.36354e+03	0.300	0.01442	6.05371e+06	1.13951e+07	0	0	0
0.20000	0.52019	7.240000	400	0.14646	7.33145e-02	0.550	0.09151	2.43069e+03	1.73391e+06	0	0	0
0.20000	0.52019	7.240000	400	0.14646	9.82388e-01	0.550	0.09151	3.17312e+04	1.73391e+06	0	0	0
0.20000	0.52019	7.240000	400	0.14646	1.31636e+01	0.550	0.09151	3.37864e+05	1.73391e+06	0	0	0
0.20000	0.52019	7.240000	400	0.14646	1.76388e+02	0.550	0.09151	1.92885e+06	1.73391e+06	0	0	0
0.20000	0.52019	7.240000	400	0.14646	2.36354e+03	0.550	0.09151	5.97758e+06	1.73391e+06	0	0	0
